answer	qid
my underwear round my ankles	blogs-05-14
i	blogs-05-15
the narrator	blogs-05-16
a group of students and a narrator	blogs-05-17
there once was a group of students and a narrator.	blogs-05-18
the narrator lifted the slip and inserted it into a bottom drawer of the desk.	blogs-05-19
the group of students	blogs-05-20
a farmer	fables-05-1
as ill-luck would have it, however, the fox made straight for the fields where the corn was standing ripe and ready for cutting.	fables-05-2
it	fables-05-3
the agriculturist set a	fables-05-4
in order	fables-05-5
the agriculturist	fables-05-6
the corn	fables-05-7
the agriculturist	fables-05-8
fire	fables-05-9
the agriculturist set a	fables-05-10
the agriculturist	fables-05-11
because the fox ran into a field	fables-05-12
the corn	fables-05-13
he	fables-05-14
the fox	fables-05-15
an agriculturist	fables-05-16
the young man	blogs-02-1
the spot of the yard of the narrator	blogs-02-2
i	blogs-02-3
because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-4
the narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.	blogs-02-5
the motorbike of the young man	blogs-02-6
my logical mind	blogs-02-7
a young man	blogs-02-8
the narrator	blogs-02-9
a young man	blogs-02-10
the flash	blogs-02-11
some bright flash	blogs-02-12
a few years	blogs-02-13
on the front yard	blogs-02-14
a young man	blogs-02-15
the narrator	blogs-02-16
the spot of the yard of the narrator	blogs-02-17
a young man	blogs-02-18
the narrator	blogs-02-19
the motorbike of the young man	blogs-02-20
the squirrel	blogs-04-1
the squirrel	blogs-04-2
the deck 's railing	blogs-04-3
themselves	blogs-04-4
squirrels	blogs-04-5
i	blogs-04-6
one of those times i wish i had a digital camera	blogs-04-7
the day	blogs-04-8
on the railing	blogs-04-9
on the deck	blogs-04-10
the squirrels drank the bowl's water.	blogs-04-11
to drink the bowl	blogs-04-12
to wait	blogs-04-13
a large stainless steel bowl of water	blogs-04-14
the birds drank the bowl's water.	blogs-04-15
an eagle	fables-03-1
an eagle	fables-03-2
a serpent	fables-03-3
a countryman , who was a witness of the encounter ,	fables-03-4
a serpent	fables-03-5
in the drinking vessel	fables-03-6
the drinking vessel	fables-03-7
the eagle	fables-03-8
the drinking vessel	fables-03-9
heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-10
his thirst	fables-03-11
the serpent spat	fables-03-12
an eagle	fables-03-13
the eagle	fables-03-14
a countryman , who was a witness of the encounter ,	fables-03-15
a countryman , who was a witness of the encounter ,	fables-03-16
a drinking vessel	fables-03-17
a countryman , who was a witness of the encounter ,	fables-03-18
the eagle	fables-03-19
some poison	fables-03-20
his exertions	fables-03-21
an eagle	fables-03-22
the eagle	fables-03-23
a serpent	fables-03-24
an eagle	fables-03-25
a countryman who owned a drinking vessel	fables-03-26
in the drinking vessel	fables-03-27
a beautiful pond	mc500.train.25.0
a beautiful pond	mc500.train.25.1
any rocks	mc500.train.25.2
maxine	mc500.train.25.3
singing	mc500.train.111.0
a good laugh at a very silly looking dog	mc500.train.111.1
will heard it start to thunder.	mc500.train.111.2
a biscuit	mc500.train.111.3
the living room	mc500.train.111.4
to visit some friends	mc500.train.0.1
a salad	mc500.train.0.2
kristin	mc500.train.0.3
atlanta	mc500.train.0.4
time	mc500.train.0.5
because they were tired	mc500.train.0.6
the girls	mc500.train.0.7
she	mc500.train.0.8
the restaurant 's special	mc500.train.0.9
soup	mc500.train.0.10
a restaurant	mc500.train.0.11
ellen 's house	mc500.train.0.12
alyssa and they	mc500.train.0.13
a restaurant	mc500.train.0.14
yes	mc500.train.0.15
yes	mc500.train.0.16
yes	mc500.train.0.18
the beach	mc500.train.0.19
alyssa	mc500.train.0.21
to have fun	mc500.train.0.22
it was saturday afternoon and andrew was bored.	mc500.train.23.1
tv all day	mc500.train.23.2
the window	mc500.train.23.3
the window	mc500.train.23.4
on the front	mc500.train.23.5
he tv all day.	mc500.train.23.6
the story	mc500.train.23.7
town	mc500.train.23.8
no	mc500.train.23.9
"""yes, we can,' andrew's dad said, 'but first you need to feed your goldfish."""	mc500.train.23.10
the people and animals at the circus	mc500.train.23.11
i	mc500.train.23.12
at the circus	mc500.train.23.13
"he asked his dad, ""can we go?"""	mc500.train.23.14
asked his dad , `` can we go ? ''	mc500.train.23.15
i	mc500.train.23.16
"andrew's dad said, ""i think the newspaper is here."	mc500.train.23.17
he	mc500.train.23.18
lots of tricks	mc500.train.23.19
the newspaper	mc500.train.23.20
the circus	mc500.train.23.21
he	mc500.train.23.22
i	mc500.train.23.23
left to bring home to the goldfish	mc500.train.23.24
kelly woke up one morning and went outside to her back yard.	mc500.train.18.1
kelly woke up one morning and went outside to her back yard.	mc500.train.18.2
one	mc500.train.18.3
her mom	mc500.train.18.4
one	mc500.train.18.5
all of the flowers	mc500.train.18.6
her yard	mc500.train.18.7
after kelly collected all of the flowers, she went inside and tied them together with string.	mc500.train.18.8
kelly woke up one morning and went outside to her back yard.	mc500.train.18.9
a hurry	mc500.train.18.10
finally, up at 8:30 am, and was excited!	mc500.train.18.11
kelly woke up one morning and went outside to her back yard.	mc500.train.18.12
the red ones	mc500.train.18.13
a new spot	mc500.train.18.14
was in a hurry because it was mother 's day	mc500.train.18.15
a hurry	mc500.train.18.16
all of the flowers	mc500.train.18.17
a hurry	mc500.train.18.18
her baby sister	mc500.train.18.19
after kelly collected all of the flowers	mc500.train.18.20
after kelly collected all of the flowers	mc500.train.18.21
all of the flowers	mc500.train.18.22
a hurry	mc500.train.18.23
