answer	qid
a young man	blogs-02-10
the narrator	blogs-02-11
the narrator	blogs-02-12
a few years	blogs-02-13
on the front yard	blogs-02-14
a young man	blogs-02-15
the narrator	blogs-02-16
the squirrel	blogs-04-1
the squirrel	blogs-04-2
the squirrel	blogs-04-3
the birds	blogs-04-4
Squirrels also come to drink out of it.	blogs-04-5
But not quite, I saw his one little paw hanging on!	blogs-04-6
a digital camera	blogs-04-7
the day	blogs-04-8
on the railing	blogs-04-9
on the deck	blogs-04-10
The squirrels drank the bowl's water.	blogs-04-11
to drink the bowl	blogs-04-12
to wait	blogs-04-13
a large stainless steel bowl	blogs-04-14
a serpent	fables-03-1
a serpent	fables-03-2
a serpent	fables-03-3
a countryman	fables-03-4
the eagle fought	fables-03-5
in the drinking vessel	fables-03-6
the countryman	fables-03-7
the eagle	fables-03-8
the eagle	fables-03-9
Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-10
the man	fables-03-11
the serpent	fables-03-12
a serpent	fables-03-13
the eagle fought	fables-03-14
a countryman	fables-03-15
a countryman	fables-03-16
a countryman	fables-03-17
a countryman	fables-03-18
the eagle	fables-03-19
the serpent	fables-03-20
the man	fables-03-21
to visit some friends	mc500.train.0.1
a salad	mc500.train.0.2
Kristin had soup.	mc500.train.0.3
Alyssa got to the beach after a long trip.	mc500.train.0.4
Alyssa was happy to spend time with her friends again.	mc500.train.0.5
They stayed the night because they were tired.	mc500.train.0.6
the girls	mc500.train.0.7
the beach	mc500.train.0.8
the restaurant	mc500.train.0.9
Alyssa called her friends Kristin and Rachel to meet at Ellen's house.	mc500.train.0.10
The girls went to a restaurant for dinner.	mc500.train.0.11
at ellen	mc500.train.0.12
Ellen greeted Alyssa and they both had some lemonade to drink.	mc500.train.0.13
the girls	mc500.train.0.14
Alyssa was happy to spend time with her friends again.	mc500.train.0.15
After going swimming and laying out, she went to her friend Ellen's house.	mc500.train.0.16
It was Saturday afternoon and Andrew was bored.	mc500.train.23.1
He had been watching TV all day.	mc500.train.23.2
Andrew looked outside the window and saw the newspaper by the door.	mc500.train.23.3
the window	mc500.train.23.4
on the front	mc500.train.23.5
He had been watching TV all day.	mc500.train.23.6
the story	mc500.train.23.7
in town	mc500.train.23.8
the circus	mc500.train.23.9
`` Yes, we can,' Andrew's dad said,'but first you need to feed your goldfish.''	mc500.train.23.10
the people	mc500.train.23.11
the newspaper	mc500.train.23.12
at the circus	mc500.train.23.13
He asked his dad,`` Can we go?''	mc500.train.23.14
the elephant	mc500.train.23.15
the newspaper	mc500.train.23.16
Andrew's dad said,`` I think the newspaper is here.	mc500.train.23.17
the elephant	mc500.train.23.18
the people	mc500.train.23.19
the newspaper	mc500.train.23.20
the circus	mc500.train.23.21
the circus	mc500.train.23.22
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.1
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.2
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.3
She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen.	mc500.train.18.4
Kelly woke up one morning and went outside to her back yard.	mc500.train.18.5
the flowers	mc500.train.18.6
She knew where the best flowers were in her yard.	mc500.train.18.7
After Kelly collected all of the flowers, she went inside and tied them together with string.	mc500.train.18.8
to collect flowers	mc500.train.18.9
a hurry	mc500.train.18.10
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18.11
to collect flowers	mc500.train.18.12
the red ones	mc500.train.18.13
a new spot	mc500.train.18.14
a hurry	mc500.train.18.15
a hurry	mc500.train.18.16
the flowers	mc500.train.18.17
a hurry	mc500.train.18.18
the flowers	mc500.train.18.19
to hide the flowers in a secret spot	mc500.train.18.20
After Kelly collected all of the flowers, she went inside and tied them together with string.	mc500.train.18.21
